domain,study,physical,cognitive,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
Verbal Ability,ilse,grip,Information,Women,225,"2.20(7.03), $p$=.75  ",2.202,7.029,0.754," .11( .10), $p$=.27  ",0.114,0.103,0.269,"-1.78(1.78), $p$=.32  ",-1.778,1.782,0.318
Verbal Ability,ilse,grip,Information,Men,252,"7.82(6.86), $p$=.26  ",7.82,6.863,0.255," .01( .06), $p$=.82  ",0.015,0.065,0.818,"-.87(1.91), $p$=.65  ",-0.871,1.913,0.649
Verbal Ability,octo,grip,Information,Women,275,"2.99(1.15), $p$=.01 **",2.993,1.153,0.009," .06( .02), $p$=.01 **",0.057,0.022,0.008,"-.09( .21), $p$=.66  ",-0.093,0.209,0.658
Verbal Ability,octo,grip,Information,Men,140," .70(1.63), $p$=.67  ",0.705,1.63,0.666,"-.06( .05), $p$=.17  ",-0.064,0.047,0.174," .77( .37), $p$=.04 *",0.768,0.374,0.04
Verbal Ability,satsa,grip,Information,Women,410,"2.57(2.39), $p$=.28  ",2.566,2.388,0.283," .03( .01), $p$=.03 *",0.03,0.014,0.028," .85( .57), $p$=.14  ",0.849,0.571,0.137
Verbal Ability,satsa,grip,Information,Men,410,"2.57(2.39), $p$=.28  ",2.566,2.388,0.283," .03( .01), $p$=.03 *",0.03,0.014,0.028," .85( .57), $p$=.14  ",0.849,0.571,0.137
Verbal Ability,map,grip,NART,Women,932,"-.17( .73), $p$=.82  ",-0.169,0.729,0.817," .03( .03), $p$=.30  ",0.034,0.032,0.299,"-.08( .11), $p$=.49  ",-0.076,0.11,0.488
Verbal Ability,map,grip,NART,Men,321,"3.38(1.83), $p$=.06 .",3.376,1.827,0.065," .08( .07), $p$=.23  ",0.081,0.068,0.23,"-.14( .27), $p$=.60  ",-0.143,0.27,0.598
Verbal Ability,octo,grip,Synonyms,Women,273," .94( .68), $p$=.16  ",0.941,0.675,0.164," .04( .02), $p$=.04 *",0.039,0.019,0.037,"-.04( .16), $p$=.80  ",-0.041,0.164,0.805
Verbal Ability,octo,grip,Synonyms,Men,139," .85(1.05), $p$=.42  ",0.849,1.047,0.418,"-.01( .03), $p$=.84  ",-0.006,0.03,0.845," .45( .26), $p$=.08 .",0.453,0.259,0.08
Verbal Ability,satsa,grip,Synonyms,Women,409,"1.86(1.41), $p$=.19  ",1.859,1.408,0.187," .00( .01), $p$=.52  ",0.004,0.006,0.515," .63( .38), $p$=.10 .",0.631,0.383,0.099
Verbal Ability,satsa,grip,Synonyms,Men,299,"5.13(2.75), $p$=.06 .",5.132,2.745,0.062,"-.01( .01), $p$=.37  ",-0.007,0.008,0.372," .15( .55), $p$=.79  ",0.148,0.554,0.79
Verbal Ability,eas,grip,Vocabulary,Women,363,"6.49(7.71), $p$=.40  ",6.493,7.715,0.4," .19( .46), $p$=.68  ",0.189,0.465,0.684,"-.37(1.51), $p$=.80  ",-0.374,1.51,0.804
Verbal Ability,eas,grip,Vocabulary,Men,222,"6.82(19.57), $p$=.73  ",6.824,19.565,0.727,"-.01(1.25), $p$=.99  ",-0.015,1.253,0.99,"-3.58(4.03), $p$=.38  ",-3.576,4.034,0.375
