domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Perceptual Reasoning,lasa,b1,female,aehplus,gait,Progressive Matrices,782,"-.95( .42), $p$=.02 *","-.25( .15), $p$=.10  ","(-.54, .05)","-.25(-.31,-.18)","-.02( .01), $p$=.02 *","-.53( .18), $p$<.01 **","(-.88,-.18)","-.52(-.57,-.47)"," .25( .28), $p$=.37  "," .03( .04), $p$=.40  ","(-.04, .10)"," .03(-.04, .10)"
Perceptual Reasoning,lasa,b1,male,aehplus,gait,Progressive Matrices,800,"-.70( .37), $p$=.06 .","-.23( .19), $p$=.23  ","(-.61, .14)","-.23(-.30,-.16)","-.01( .01), $p$=.07 .","-.23( .16), $p$=.15  ","(-.55, .08)","-.24(-.31,-.18)"," .15( .16), $p$=.36  "," .02( .03), $p$=.38  ","(-.03, .08)"," .02(-.04, .09)"
Perceptual Reasoning,map,b1,female,aehplus,gait,Progressive Matrices,935," .06( .01), $p$<.01 ***"," .24( .06), $p$<.01 ***","( .14, .35)"," .25( .18, .30)"," .00( .00), $p$=.97  "," .01( .30), $p$=.97  ","(-.58, .61)"," .00(-.06, .06)"," .00( .01), $p$=.83  "," .01( .03), $p$=.83  ","(-.05, .07)"," .01(-.06, .07)"
Perceptual Reasoning,map,b1,male,aehplus,gait,Progressive Matrices,321," .09( .03), $p$<.01 **"," .36( .11), $p$<.01 ***","( .14, .58)"," .36( .26, .45)"," .00( .00), $p$=.36  "," .64( .64), $p$=.32  ","(-.61,1.89)"," .44( .34, .52)"," .03( .01), $p$=.01 **"," .11( .04), $p$=.01 **","( .03, .19)"," .11(-.00, .22)"
Processing Speed,lasa,b1,female,aehplus,gait,Coding,782,"-2.62( .98), $p$=.01 **","-.32( .12), $p$=.01 **","(-.56,-.08)","-.32(-.38,-.26)","-.02( .01), $p$=.09 .","-.24( .11), $p$=.02 *","(-.45,-.03)","-.24(-.31,-.17)","-.47( .20), $p$=.02 *","-.05( .02), $p$=.02 *","(-.09,-.01)","-.05(-.12, .02)"
Processing Speed,lasa,b1,male,aehplus,gait,Coding,800,"-1.88( .56), $p$<.01 ***","-.30( .21), $p$=.15  ","(-.72, .11)","-.31(-.37,-.24)","-.04( .01), $p$=.02 *","-.32( .14), $p$=.02 *","(-.58,-.05)","-.32(-.38,-.25)","-.22( .28), $p$=.43  ","-.03( .04), $p$=.43  ","(-.11, .05)","-.03(-.10, .04)"
Processing Speed,map,b1,female,aehplus,gait,Number Comparison,935," .10( .04), $p$=.03 *"," .11( .05), $p$=.02 *","( .01, .21)"," .12( .05, .18)"," .00( .00), $p$=.22  "," .29( .23), $p$=.20  ","(-.15, .74)"," .21( .15, .27)"," .03( .01), $p$=.02 *"," .06( .02), $p$=.02 *","( .01, .11)"," .06(-.01, .12)"
Processing Speed,map,b1,male,aehplus,gait,Number Comparison,321," .17( .06), $p$=.01 **"," .22( .08), $p$=.01 **","( .06, .37)"," .22( .11, .32)","-.00( .00), $p$=.28  ","-.40( .40), $p$=.32  ","(-1.19, .39)",---," .04( .02), $p$=.06 ."," .07( .04), $p$=.06 .","(-.00, .15)"," .07(-.04, .18)"
Processing Speed,octo,b1,female,aehplus,gait,Perceptual Speed,262,"-2.18(2.45), $p$=.38  ","-.24( .29), $p$=.41  ","(-.81, .33)","-.24(-.35,-.12)","-.25( .77), $p$=.74  ","-.76( .64), $p$=.24  ","(-2.01, .50)","-.76(-.80,-.70)","-.65( .56), $p$=.25  ","-.08( .07), $p$=.26  ","(-.22, .06)","-.08(-.20, .04)"
Processing Speed,octo,b1,male,aehplus,gait,Perceptual Speed,131,"-1.62(1.48), $p$=.27  ","-.30( .28), $p$=.27  ","(-.85, .24)","-.30(-.45,-.14)","-.08( .13), $p$=.53  ","-.48( .74), $p$=.51  ","(-1.94, .97)","-.48(-.60,-.34)"," .12( .51), $p$=.82  "," .02( .11), $p$=.82  ","(-.19, .24)"," .02(-.15, .19)"
Processing Speed,eas,b1,female,aehplus,gait,Symbol,363,"46.98(24.64), $p$=.06 ."," .21( .10), $p$=.04 *","( .01, .41)"," .21( .11, .31)","2.53( .99), $p$=.01 **"," .66( .24), $p$=.01 **","( .19,1.13)"," .66( .60, .71)"," .16(2.92), $p$=.95  "," .00( .07), $p$=.95  ","(-.13, .14)"," .00(-.10, .11)"
Processing Speed,eas,b1,male,aehplus,gait,Symbol,221,"68.90(26.04), $p$=.01 **"," .39( .14), $p$=.01 **","( .10, .67)"," .39( .27, .49)","1.59(1.33), $p$=.23  "," .67( .85), $p$=.43  ","(-.99,2.33)"," .67( .59, .74)","-.48(4.28), $p$=.91  ","-.01( .09), $p$=.91  ","(-.19, .17)","-.01(-.14, .12)"
Processing Speed,ilse,b1,female,aehplus,tug,Symbol,225,"-1.45(2.00), $p$=.47  ",---,---,"-.13(-.26, .00)","-.00( .02), $p$=.96  ",---,---,"-.09(-.22, .04)"," .10( .58), $p$=.86  ",---,---," .02(-.11, .15)"
Processing Speed,ilse,b1,male,aehplus,tug,Symbol,252,"-2.28(1.38), $p$=.10 .",---,---,"-.47(-.56,-.37)","-.01( .02), $p$=.68  ",---,---,"-.42(-.52,-.31)","-.49( .46), $p$=.28  ",---,---,"-.09(-.21, .03)"
Processing Speed,map,b1,female,aehplus,gait,Symbol,935," .27( .06), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .14, .32)"," .24( .17, .30)"," .00( .00), $p$=.59  "," .09( .16), $p$=.59  ","(-.22, .40)"," .06(-.01, .12)"," .04( .02), $p$=.03 *"," .06( .03), $p$=.03 *","( .01, .12)"," .06(-.00, .13)"
Processing Speed,map,b1,male,aehplus,gait,Symbol,321," .53( .09), $p$<.01 ***"," .46( .07), $p$<.01 ***","( .32, .60)"," .45( .36, .54)","-.01( .01), $p$=.35  ","-.33( .40), $p$=.41  ","(-1.12, .45)",---," .06( .03), $p$=.06 ."," .09( .05), $p$=.06 .","(-.00, .18)"," .09(-.02, .20)"
Processing Speed,octo,b1,female,aehplus,gait,Symbol,266,"-10.73(5.36), $p$=.04 *","-.37( .14), $p$=.01 **","(-.64,-.09)","-.37(-.47,-.26)","-.27( .65), $p$=.68  ","-.42( .44), $p$=.35  ","(-1.28, .45)","-.42(-.51,-.31)","-2.12(1.52), $p$=.16  ","-.12( .08), $p$=.13  ","(-.27, .04)","-.12(-.24, .00)"
Processing Speed,octo,b1,male,aehplus,gait,Symbol,134,"-7.59(2.82), $p$=.01 **","-.46( .14), $p$<.01 **","(-.74,-.17)","-.46(-.58,-.31)"," .00( .11), $p$=.99  "," .00(1.01), $p$=.99  ","(-1.97,1.98)"," .01(-.16, .18)","-2.51(1.15), $p$=.03 *","-.23( .09), $p$=.01 *","(-.42,-.05)","-.24(-.39,-.07)"
Verbal Ability,eas,b1,female,aehplus,gait,Boston Naming Test,363,"-.88(4.93), $p$=.86  ","-.02( .14), $p$=.86  ","(-.29, .24)","-.02(-.13, .08)"," .01( .32), $p$=.98  "," .02(1.08), $p$=.98  ","(-2.08,2.13)"," .02(-.08, .13)"," .49( .92), $p$=.59  "," .04( .08), $p$=.59  ","(-.12, .21)"," .05(-.06, .15)"
Verbal Ability,eas,b1,male,aehplus,gait,Boston Naming Test,222,"6.14(6.14), $p$=.32  "," .19( .18), $p$=.29  ","(-.16, .54)"," .19( .06, .31)","-.00( .42), $p$=.99  ","-.04(3.45), $p$=.99  ","(-6.80,6.73)","-.04(-.17, .09)"," .29( .95), $p$=.76  "," .02( .08), $p$=.76  ","(-.13, .18)"," .02(-.11, .16)"
Verbal Ability,map,b1,female,aehplus,gait,Boston Naming Test,935," .02( .01), $p$<.01 ***"," .18( .04), $p$<.01 ***","( .09, .26)"," .18( .11, .24)"," .00( .00), $p$=.10 ."," .28( .17), $p$=.11  ","(-.06, .62)"," .20( .14, .26)","-.00( .00), $p$=.69  ","-.01( .02), $p$=.69  ","(-.06, .04)","-.01(-.08, .05)"
Verbal Ability,map,b1,male,aehplus,gait,Boston Naming Test,321," .04( .02), $p$=.01 **"," .31( .07), $p$<.01 ***","( .17, .45)"," .31( .20, .40)","-.00( .00), $p$=.31  ","-.63( .77), $p$=.41  ","(-2.13, .87)","-.41(-.50,-.31)","-.00( .00), $p$=.48  ","-.03( .04), $p$=.48  ","(-.12, .06)","-.03(-.14, .08)"
Verbal Ability,eas,b1,female,aehplus,gait,Categories,363,"11.43(13.72), $p$=.40  "," .10( .11), $p$=.40  ","(-.12, .31)"," .09(-.01, .20)"," .67( .92), $p$=.46  "," .33( .45), $p$=.46  ","(-.55,1.21)"," .33( .23, .42)"," .43(2.70), $p$=.87  "," .01( .08), $p$=.87  ","(-.15, .17)"," .01(-.09, .12)"
Verbal Ability,eas,b1,male,aehplus,gait,Categories,222,"44.15(25.45), $p$=.08 ."," .31( .16), $p$=.05 .","(-.00, .63)"," .31( .19, .43)","1.74(1.19), $p$=.14  "," .78( .72), $p$=.28  ","(-.64,2.19)"," .78( .72, .82)"," .06(3.21), $p$=.98  "," .00( .09), $p$=.98  ","(-.17, .17)"," .00(-.13, .13)"
Verbal Ability,map,b1,female,aehplus,gait,Categories,935," .18( .05), $p$<.01 ***"," .18( .05), $p$<.01 ***","( .09, .28)"," .19( .12, .25)"," .01( .00), $p$=.02 *"," .39( .17), $p$=.02 *","( .06, .71)"," .30( .24, .36)","-.01( .02), $p$=.32  ","-.02( .02), $p$=.32  ","(-.07, .02)","-.02(-.09, .04)"
Verbal Ability,map,b1,male,aehplus,gait,Categories,321," .39( .09), $p$<.01 ***"," .38( .08), $p$<.01 ***","( .23, .54)"," .39( .29, .48)"," .02( .01), $p$=.04 *"," .74( .36), $p$=.04 *","( .03,1.45)"," .56( .48, .63)"," .02( .03), $p$=.38  "," .04( .04), $p$=.38  ","(-.04, .11)"," .04(-.07, .14)"
Verbal Ability,eas,b1,female,aehplus,gait,FAS,361,"67.83(23.06), $p$<.01 **"," .35( .10), $p$<.01 ***","( .15, .56)"," .36( .26, .44)","2.08(1.10), $p$=.06 ."," .81( .47), $p$=.09 .","(-.12,1.74)"," .81( .77, .84)","-.79(3.33), $p$=.81  ","-.02( .08), $p$=.81  ","(-.17, .14)","-.02(-.12, .08)"
Verbal Ability,eas,b1,male,aehplus,gait,FAS,222,"26.13(28.93), $p$=.37  "," .15( .16), $p$=.37  ","(-.17, .47)"," .15( .02, .27)"," .81(1.55), $p$=.60  "," .56(1.22), $p$=.65  ","(-1.84,2.95)"," .55( .46, .64)"," .86(4.62), $p$=.85  "," .02( .10), $p$=.85  ","(-.17, .21)"," .02(-.11, .15)"
Verbal Ability,elsa,b1,female,aehplus,gait,Fluency,2226," .16( .03), $p$<.01 ***"," .20( .04), $p$<.01 ***","( .13, .27)"," .20( .16, .24)"," .00( .00), $p$=.20  "," .17( .13), $p$=.20  ","(-.09, .43)",---," .02( .01), $p$=.09 ."," .04( .02), $p$=.09 .","(-.01, .08)"," .03(-.01, .08)"
Verbal Ability,elsa,b1,male,aehplus,gait,Fluency,1947," .20( .03), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .15, .31)"," .23( .18, .27)"," .00( .00), $p$=.28  "," .16( .15), $p$=.29  ","(-.14, .46)",---,"-.01( .01), $p$=.34  ","-.02( .02), $p$=.34  ","(-.06, .02)","-.02(-.06, .02)"
Verbal Ability,ilse,b1,female,aehplus,tug,Fluency,225," .11(1.56), $p$=.94  ",---,---," .01(-.12, .15)"," .00( .02), $p$=.80  ",---,---," .49( .38, .58)","-.66( .70), $p$=.34  ",---,---,"-.10(-.23, .03)"
Verbal Ability,ilse,b1,female,aehplus,tug,Information,225," .16( .82), $p$=.85  ",---,---," .04(-.10, .17)"," .00( .01), $p$=.95  ",---,---," .00(-.13, .13)","-.07( .24), $p$=.76  ",---,---,"-.03(-.16, .10)"
Verbal Ability,ilse,b1,male,aehplus,tug,Information,252,"-.41( .47), $p$=.38  ",---,---,"-.24(-.35,-.12)","-.00( .01), $p$=.80  ",---,---,"-.27(-.38,-.15)","-.20( .19), $p$=.29  ",---,---,"-.09(-.21, .04)"
Verbal Ability,octo,b1,female,aehplus,gait,Information,275,"-3.15(2.80), $p$=.26  ","-.10( .09), $p$=.25  ","(-.28, .07)","-.10(-.22, .01)"," .02( .04), $p$=.61  "," .04( .08), $p$=.61  ","(-.11, .19)"," .04(-.08, .16)","-.72( .51), $p$=.15  ","-.05( .04), $p$=.17  ","(-.13, .02)","-.05(-.17, .07)"
Verbal Ability,octo,b1,male,aehplus,gait,Information,140,"-2.86(1.95), $p$=.14  ","-.21( .14), $p$=.13  ","(-.47, .06)","-.21(-.36,-.04)","-.02( .10), $p$=.83  ","-.14( .60), $p$=.82  ","(-1.31,1.04)","-.13(-.29, .03)","-.90( .81), $p$=.27  ","-.11( .09), $p$=.25  ","(-.29, .08)","-.11(-.27, .06)"
Verbal Ability,map,b1,female,aehplus,gait,NART,933," .02( .01), $p$=.05 *"," .09( .04), $p$=.05 *","( .00, .17)"," .09( .02, .15)"," .00( .00), $p$=.65  ","-.10( .22), $p$=.65  ","(-.53, .33)"," .00(-.06, .06)"," .01( .00), $p$<.01 **"," .08( .03), $p$<.01 **","( .03, .14)"," .08( .02, .15)"
Verbal Ability,map,b1,male,aehplus,gait,NART,321," .05( .02), $p$=.03 *"," .19( .08), $p$=.02 *","( .03, .36)"," .19( .09, .30)"," .00( .00), $p$=.56  "," .26( .48), $p$=.58  ","(-.67,1.20)"," .22( .12, .33)"," .00( .00), $p$=.70  "," .02( .04), $p$=.70  ","(-.06, .10)"," .02(-.09, .13)"
Verbal Ability,octo,b1,female,aehplus,gait,Synonyms,268,"-1.40(2.17), $p$=.52  ","-.10( .15), $p$=.51  ","(-.39, .20)","-.10(-.22, .02)","-.22( .53), $p$=.68  ","-.48( .48), $p$=.31  ","(-1.42, .45)","-.49(-.57,-.39)","-1.22( .69), $p$=.08 .","-.14( .07), $p$=.04 *","(-.27,-.00)","-.14(-.25,-.02)"
Verbal Ability,octo,b1,male,aehplus,gait,Synonyms,134,"-.87(1.52), $p$=.57  ","-.09( .16), $p$=.56  ","(-.41, .22)","-.09(-.26, .08)","-.02( .06), $p$=.65  ","-.63(1.90), $p$=.74  ","(-4.36,3.10)","-.63(-.72,-.51)","-.38( .49), $p$=.44  ","-.06( .08), $p$=.44  ","(-.23, .10)","-.06(-.23, .11)"
Verbal Ability,eas,b1,female,aehplus,gait,Vocabulary,363,"51.98(22.89), $p$=.02 *"," .29( .12), $p$=.01 *","( .06, .51)"," .29( .19, .38)","1.53(1.26), $p$=.22  ","1.00(1.16), $p$=.39  ","(-1.27,3.26)","1.00(1.00,1.00)","-.85(3.63), $p$=.81  ","-.02( .07), $p$=.81  ","(-.16, .12)","-.02(-.12, .09)"
Verbal Ability,eas,b1,male,aehplus,gait,Vocabulary,222,"6.94(29.02), $p$=.81  "," .04( .17), $p$=.81  ","(-.30, .38)"," .04(-.09, .17)","-.34(1.69), $p$=.84  ","-.34(1.82), $p$=.85  ","(-3.90,3.22)","-.34(-.45,-.22)","-3.81(6.28), $p$=.54  ","-.06( .10), $p$=.54  ","(-.26, .14)","-.06(-.19, .07)"
