"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval"
"Mplus VERSION 5.1","0.1","06/04/2015","10:06 AM","u0_male_empty_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_male_empty_tug_nocog_nophysspec_nocogspec.out","nuage","u0","male","empty","nophysspec","nocogspec",853,4,NA,5,-8938.493,17886.986,17910.73,17894.851,17887.0568382527,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.856,0.763,3.742,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:07 AM","u0_male_empty_walking_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_male_empty_walking_nocog_grip_nocogspec.out","nuage","u0","male","empty","grip","nocogspec",853,4,NA,5,-6589.435,13188.87,13212.614,13196.736,13188.9408382527,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612,0.203,3.018,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:49 PM","u1_female_a_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_a_chair_nocog_nophysspec_nocogspec.out","nuage","u1","female","a","nophysspec","nocogspec",919,4,NA,8,-8463.75,16943.499,16982.086,16956.679,16943.6572417582,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.046,1.496,6.046,0,0.36,0.347,1.037,0.3,1.375,0.584,2.352,0.019,7.793,1.081,7.209,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.903,0.16,68.251,0,0.38,0.056,6.768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222,0.032,7,0,0.04,0.014,2.857,0.004,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015"," 4:06 PM","u1_female_a_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_a_flamingo_nocog_nophysspec_nocogspec.out","nuage","u1","female","a","nophysspec","nocogspec",937,4,NA,8,-12104.804,24225.608,24264.349,24238.942,24225.7631724138,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.909,13.658,10.463,0,3.123,1.638,1.906,0.057,-13.641,3.829,-3.562,0,63.578,5.776,11.008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.842,0.832,21.442,0,-1.657,0.25,-6.632,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.313,0.109,-12.067,0,0.077,0.034,2.311,0.021,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","12:21 PM","u1_female_a_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_a_tug_nocog_nophysspec_nocogspec.out","nuage","u1","female","a","nophysspec","nocogspec",938,4,NA,8,-6678.748,13373.496,13412.246,13386.839,13373.6510053821,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,0.675,6.397,0,0.178,0.065,2.738,0.006,0.285,0.185,1.542,0.123,1.767,0.201,8.805,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.091,0.093,108.292,0,0.09,0.03,2.992,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189,0.02,9.601,0,0.038,0.007,5.312,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:54 PM","u1_female_a_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_a_walking_nocog_nophysspec_nocogspec.out","nuage","u1","female","a","nophysspec","nocogspec",938,4,NA,8,-3731.215,7478.431,7517.181,7491.773,7478.58600538213,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.094,6.071,0,0.049,0.015,3.261,0.001,0.038,0.026,1.484,0.138,0.274,0.023,11.871,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.046,0.034,120.744,0,0.013,0.012,1.072,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,0.007,9.361,0,0.013,0.003,4.326,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:50 PM","u1_female_aeh_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aeh_chair_nocog_nophysspec_nocogspec.out","nuage","u1","female","aeh","nophysspec","nocogspec",915,4,NA,12,-8424.466,16872.931,16930.758,16892.648,16873.2768980044,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.782,1.468,5.984,0,0.349,0.343,1.017,0.309,1.4,0.578,2.422,0.015,7.783,1.081,7.202,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.501,0.245,46.848,0,0.368,0.103,3.557,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239,0.032,7.533,0,0.038,0.014,2.775,0.006,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015"," 4:06 PM","u1_female_aeh_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aeh_flamingo_nocog_nophysspec_nocogspec.out","nuage","u1","female","aeh","nophysspec","nocogspec",933,4,NA,12,-12067.092,24158.183,24216.244,24178.133,24158.5221304348,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.255,13.549,10.5,0,3.041,1.635,1.86,0.063,-13.522,3.82,-3.54,0,63.825,5.803,10.999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.186,0.987,17.409,0,-1.378,0.304,-4.532,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.285,0.109,-11.81,0,0.079,0.034,2.348,0.019,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:38 AM","u1_female_aeh_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aeh_muscle_nocog_grip_nocogspec.out","nuage","u1","female","aeh","grip","nocogspec",933,4,NA,12,-11934.945,23893.891,23951.952,23913.841,23894.2301304348,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.246,10.938,16.296,0,2.818,0.911,3.094,0.002,-2.51,2.064,-1.216,0.224,37.824,2.668,14.177,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.53,0.987,61.341,0,-1.989,0.265,-7.518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.937,0.113,-8.263,0,0.01,0.028,0.359,0.72,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:40 AM","u1_female_aeh_nophys_global_nophysspec_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aeh_nophys_global_nophysspec_mmms.out","nuage","u1","female","aeh","nophysspec","mmms",934,4,NA,12,-9094.077,18212.154,18270.228,18232.117,18212.492762215,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.789,0.741,10.514,0,0.756,0.333,2.267,0.023,2.163,0.376,5.752,0,8.557,0.409,20.909,0,NA,NA,NA,NA,NA,NA,NA,NA,93.882,0.257,365.001,0,-0.328,0.12,-2.729,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.222,0.03,-7.352,0,-0.065,0.014,-4.576,0
"Mplus VERSION 5.1","0.1","03/11/2015","12:25 PM","u1_female_aeh_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aeh_tug_nocog_nophysspec_nocogspec.out","nuage","u1","female","aeh","nophysspec","nocogspec",934,4,NA,12,-6652.143,13328.287,13386.36,13348.249,13328.625762215,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.276,0.667,6.414,0,0.174,0.065,2.694,0.007,0.289,0.185,1.566,0.117,1.772,0.202,8.784,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.968,0.155,64.475,0,0.064,0.054,1.176,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.019,9.395,0,0.04,0.007,5.796,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:55 PM","u1_female_aeh_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aeh_walking_nocog_nophysspec_nocogspec.out","nuage","u1","female","aeh","nophysspec","nocogspec",934,4,NA,12,-3697.214,7418.428,7476.501,7438.39,7418.76676221498,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532,0.089,5.999,0,0.049,0.015,3.233,0.001,0.041,0.025,1.629,0.103,0.275,0.023,11.861,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,0.055,73.473,0,0.007,0.022,0.331,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.007,8.783,0,0.014,0.003,4.795,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:50 PM","u1_female_aehplus_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aehplus_chair_nocog_nophysspec_nocogspec.out","nuage","u1","female","aehplus","nophysspec","nocogspec",915,4,NA,20,-8413.51,16867.019,16963.398,16899.88,16867.9585973154,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.519,1.47,5.796,0,0.34,0.342,0.992,0.321,1.404,0.58,2.418,0.016,7.778,1.08,7.205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,0.277,40.541,0,0.371,0.121,3.061,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,0.032,7.027,0,0.036,0.013,2.691,0.007,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015"," 4:05 PM","u1_female_aehplus_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aehplus_flamingo_nocog_nophysspec_nocogspec.out","nuage","u1","female","aehplus","nophysspec","nocogspec",933,4,NA,20,-12058.362,24156.723,24253.491,24189.973,24157.6440526316,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.778,13.138,10.563,0,2.924,1.627,1.797,0.072,-12.893,3.754,-3.435,0.001,63.807,5.8,11.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.994,1.143,16.619,0,-1.725,0.371,-4.648,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.251,0.109,-11.483,0,0.072,0.033,2.15,0.032,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:38 AM","u1_female_aehplus_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aehplus_muscle_nocog_grip_nocogspec.out","nuage","u1","female","aehplus","grip","nocogspec",933,4,NA,20,-11926.136,23892.272,23989.04,23925.522,23893.1930526316,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.202,10.892,16.177,0,2.691,0.883,3.049,0.002,-2.348,2.033,-1.155,0.248,37.841,2.667,14.188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.565,1.122,53.97,0,-2.175,0.284,-7.658,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.939,0.113,-8.311,0,0.019,0.029,0.652,0.514,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:43 AM","u1_female_aehplus_nophys_global_nophysspec_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aehplus_nophys_global_nophysspec_mmms.out","nuage","u1","female","aehplus","nophysspec","mmms",934,4,NA,20,-9088.759,18217.519,18314.308,18250.79,18218.4390438116,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.694,0.733,10.497,0,0.748,0.329,2.271,0.023,2.142,0.371,5.775,0,8.552,0.409,20.902,0,NA,NA,NA,NA,NA,NA,NA,NA,93.786,0.297,316.145,0,-0.421,0.133,-3.162,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.221,0.03,-7.255,0,-0.064,0.015,-4.418,0
"Mplus VERSION 5.1","0.1","03/11/2015","12:29 PM","u1_female_aehplus_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aehplus_tug_nocog_nophysspec_nocogspec.out","nuage","u1","female","aehplus","nophysspec","nocogspec",934,4,NA,20,-6640.617,13321.234,13418.023,13354.505,13322.1540438116,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.191,0.666,6.296,0,0.164,0.062,2.648,0.008,0.291,0.183,1.585,0.113,1.777,0.203,8.743,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.751,0.168,57.889,0,0.115,0.056,2.041,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173,0.019,8.865,0,0.04,0.007,5.71,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:55 PM","u1_female_aehplus_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_aehplus_walking_nocog_nophysspec_nocogspec.out","nuage","u1","female","aehplus","nophysspec","nocogspec",934,4,NA,20,-3683.109,7406.218,7503.007,7439.489,7407.13804381161,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516,0.087,5.929,0,0.048,0.015,3.203,0.001,0.042,0.025,1.67,0.095,0.275,0.023,11.853,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.949,0.06,66.19,0,0.019,0.025,0.768,0.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.007,8.294,0,0.014,0.003,4.65,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:43 AM","u1_female_age_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_age_muscle_nocog_grip_nocogspec.out","nuage","u1","female","age","grip","nocogspec",937,4,NA,8,-11979.021,23974.041,24012.783,23987.375,23974.1961724138,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.044,10.955,16.344,0,2.828,0.91,3.108,0.002,-2.556,2.065,-1.238,0.216,37.855,2.662,14.218,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.956,0.713,85.452,0,-2.047,0.181,-11.293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.902,0.112,-8.081,0,0.011,0.028,0.392,0.695,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","11:44 AM","u1_female_age_nophys_global_nophysspec_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_female_age_nophys_global_nophysspec_mmms.out","nuage","u1","female","age","nophysspec","mmms",939,4,NA,8,-9223.57,18463.139,18501.898,18476.49,18463.2938387097,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.125,0.873,11.604,0,0.653,0.314,2.076,0.038,2.286,0.388,5.893,0,8.772,0.426,20.575,0,NA,NA,NA,NA,NA,NA,NA,NA,95.377,0.177,539.156,0,-0.268,0.065,-4.087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.26,0.032,-8.013,0,-0.065,0.014,-4.585,0
"Mplus VERSION 5.1","0.1","06/02/2015"," 2:44 PM","u1_male_a_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_a_chair_nocog_nophysspec_nocogspec.out","nuage","u1","male","a","nophysspec","nocogspec",845,4,NA,8,-7215.52,14447.039,14484.954,14459.548,14447.2112488038,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.286,1.033,6.087,0,0.324,0.349,0.928,0.353,1.007,0.365,2.763,0.006,4.902,0.608,8.062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.871,0.138,71.295,0,0.393,0.051,7.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189,0.027,6.985,0,0.035,0.011,3.113,0.002,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015"," 4:04 PM","u1_male_a_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_a_flamingo_nocog_nophysspec_nocogspec.out","nuage","u1","male","a","nophysspec","nocogspec",848,4,NA,8,-11890.116,23796.233,23834.176,23808.77,23796.4046328963,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.455,16.558,13.798,0,5.025,2.551,1.97,0.049,-13.271,5.211,-2.547,0.011,122.104,8.414,14.512,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.32,0.999,25.333,0,-2.006,0.307,-6.529,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,0.137,-12.455,0,0.039,0.045,0.865,0.387,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","03/11/2015","12:21 PM","u1_male_a_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u1_male_a_tug_nocog_nophysspec_nocogspec.out","nuage","u1","male","a","nophysspec","nocogspec",848,4,NA,8,-6215.692,12447.385,12485.328,12459.922,12447.5566328963,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.659,0.647,4.112,0,0.407,0.283,1.439,0.15,0.642,0.369,1.737,0.082,2.014,0.65,3.097,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.777,0.089,109.443,0,0.109,0.036,3.064,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146,0.019,7.635,0,0.047,0.013,3.628,0,NA,NA,NA,NA,NA,NA,NA,NA
